Aglaeactis_cupripennis
Aglaiocercus_coelestis
Amazilia_amabilis
Amazilia_amazilia
Amazilia_cyanifrons
Amazilia_franciae
Amazilia_saucerrottei
Amazilia_tzacatl
Androdon_aequatorialis
Boissonneaua_flavescens
Boissonneaua_matthewsii
Calliphlox_mitchellii
Campylopterus_falcatus
Campylopterus_largipennis
Chaetocercus_bombus
Chaetocercus_heliodor
Chaetocercus_mulsant
Chalcostigma_herrani
Chalcostigma_stanleyi
Chlorostilbon_gibsoni
Chlorostilbon_melanorhynchus
Coeligena_bonapartei
Coeligena_coeligena
Coeligena_helianthea
Coeligena_iris
Coeligena_lutetiae
Coeligena_torquata
Coeligena_wilsoni
Damophila_julie
Doryfera_johannae
Doryfera_ludovicae
Ensifera_ensifera
Eriocnemis_alinae
Eriocnemis_derbyi
Eriocnemis_luciani
Eriocnemis_mosquera
Eriocnemis_vestita
Eutoxeres_aquila
Haplophaedia_lugens
Heliangelus_amethysticollis
Heliangelus_exortis
Heliangelus_viola
Heliodoxa_aurescens
Heliodoxa_imperatrix
Heliodoxa_jacula
Heliodoxa_schreibersii
Heliothryx_auritus
Hylocharis_grayi
Lafresnaya_lafresnayi
Lepidopyga_goudoti
Lesbia_nuna
Lesbia_victoriae
Leucippus_baeri
Metallura_tyrianthina
Metallura_williami
Myrmia_micrura
Ocreatus_underwoodii
Oreotrochilus_chimborazo
Phaethornis_bourcieri
Phaethornis_griseogularis
Phaethornis_malaris
Phaethornis_syrmatophorus
Pterophanes_cyanopterus
Ramphomicron_microrhynchum
Schistes_geoffroyi
Thalurania_colombica
Thalurania_fannyi
Thalurania_furcata
Threnetes_leucurus
Urochroa_bougueri
Urosticte_benjamini
